feature,value
pearson_r_DNase::8988t__cancer_cl,-0.0009235310808018686
p_value_DNase::8988t__cancer_cl,1.3029574647740677e-49
fraction_within_DNase::8988t__cancer_cl,0.002194445353381613
cosine_similarity_DNase::8988t__cancer_cl,0.011544443861437402
x_sum_DNase::8988t__cancer_cl,257023778.68751895
y_sum_DNase::8988t__cancer_cl,607910.5000603944
x_squared_sum_DNase::8988t__cancer_cl,3961898257.5035076
y_squared_sum_DNase::8988t__cancer_cl,602788.0899920583
xy_sum_DNase::8988t__cancer_cl,564166.1265937373
n_DNase::8988t__cancer_cl,257088255.0
pearson_r_DNase::a172__cancer_cl,-0.0003832677701632504
p_value_DNase::a172__cancer_cl,7.981012893517239e-10
fraction_within_DNase::a172__cancer_cl,0.011246416903741537
cosine_similarity_DNase::a172__cancer_cl,0.026886784429330644
x_sum_DNase::a172__cancer_cl,257023778.68751895
y_sum_DNase::a172__cancer_cl,2931684.5001542717
x_squared_sum_DNase::a172__cancer_cl,3961898257.5035076
y_squared_sum_DNase::a172__cancer_cl,2918850.02998621
xy_sum_DNase::a172__cancer_cl,2891321.6967854146
n_DNase::a172__cancer_cl,257088255.0
pearson_r_DNase::a549__cancer_cl,-0.0013198865804834128
p_value_DNase::a549__cancer_cl,2.0931380964094838e-99
fraction_within_DNase::a549__cancer_cl,0.008888231725025808
cosine_similarity_DNase::a549__cancer_cl,0.023450135857434235
x_sum_DNase::a549__cancer_cl,257023778.68751895
y_sum_DNase::a549__cancer_cl,2409450.400161907
x_squared_sum_DNase::a549__cancer_cl,3961898257.5035076
y_squared_sum_DNase::a549__cancer_cl,2396630.9599948614
xy_sum_DNase::a549__cancer_cl,2285059.984222525
n_DNase::a549__cancer_cl,257088255.0
pearson_r_DNase::a673__cancer_cl,-0.0012594014227076409
p_value_DNase::a673__cancer_cl,1.1231292341502043e-90
fraction_within_DNase::a673__cancer_cl,0.01189150423239999
cosine_similarity_DNase::a673__cancer_cl,0.02724922145105606
x_sum_DNase::a673__cancer_cl,257023778.68751895
y_sum_DNase::a673__cancer_cl,3193748.100209929
x_squared_sum_DNase::a673__cancer_cl,3961898257.5035076
y_squared_sum_DNase::a673__cancer_cl,3177068.2699939176
xy_sum_DNase::a673__cancer_cl,3057166.072432828
n_DNase::a673__cancer_cl,257088255.0
pearson_r_DNase::achn__cancer_cl,-0.0011622188976499045
p_value_DNase::achn__cancer_cl,1.671814866476791e-77
fraction_within_DNase::achn__cancer_cl,0.007666876816762284
cosine_similarity_DNase::achn__cancer_cl,0.021789889972508907
x_sum_DNase::achn__cancer_cl,257023778.68751895
y_sum_DNase::achn__cancer_cl,2072836.9000939727
x_squared_sum_DNase::achn__cancer_cl,3961898257.5035076
y_squared_sum_DNase::achn__cancer_cl,2065323.329996205
xy_sum_DNase::achn__cancer_cl,1971063.9821213703
n_DNase::achn__cancer_cl,257088255.0
pearson_r_DNase::activated_b_cell__pc,-0.002024731449304771
p_value_DNase::activated_b_cell__pc,3.379516705022996e-231
fraction_within_DNase::activated_b_cell__pc,0.0017294966388668829
cosine_similarity_DNase::activated_b_cell__pc,0.009691679912148858
x_sum_DNase::activated_b_cell__pc,257023778.68751895
y_sum_DNase::activated_b_cell__pc,534500.8000434265
x_squared_sum_DNase::activated_b_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_b_cell__pc,531254.3200029434
xy_sum_DNase::activated_b_cell__pc,444633.2729146521
n_DNase::activated_b_cell__pc,257088255.0
pearson_r_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,-0.001878835524038223
p_value_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,2.265210073340055e-199
fraction_within_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,0.007155037755845472
cosine_similarity_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,0.02071553857996042
x_sum_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,257023778.68751895
y_sum_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,2000679.5001352802
x_squared_sum_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,1990180.9099988125
xy_sum_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,1839476.1711094284
n_DNase::activated_cd4_positive_alpha_beta_memory_t_cell__pc,257088255.0
pearson_r_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,-0.0025845686775302825
p_value_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,0.0
fraction_within_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,0.002920351649037942
cosine_similarity_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,0.01260715368945324
x_sum_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,257023778.68751895
y_sum_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,899594.4000588581
x_squared_sum_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,3961898257.5035076
y_squared_sum_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,895153.1800026813
xy_sum_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,750788.109437537
n_DNase::activated_cd4_positive_alpha_beta_t_cell__pc,257088255.0
pearson_r_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,-0.001766165037162782
p_value_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,2.0362253618504866e-176
fraction_within_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,0.0028466496272878472
cosine_similarity_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,0.012806121894745304
x_sum_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,257023778.68751895
y_sum_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,829493.9000672475
x_squared_sum_DNase::activated_cd4_positive_cd25_positive_alpha_beta_regulatory_t_cell__pc,3961898257.5035076
