Split,Threshold Version,AUC,Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,PPV,NPV,TP,FP,TN,FN,Threshold,Positive Class,Num Classes,Model,Task,Experiment,Seed,Repetition,Num Warnings
Budhraja 2023,Max. J Threshold,0.9833829365079365,0.9635416666666666,0.9613095238095238,0.9788519637462235,0.9642857142857143,0.9583333333333334,0.9938650306748467,0.7931034482758621,162,1,23,6,0.2732831835746765,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Cristiano 2019,Max. J Threshold,0.9709016393442623,0.919831223628692,0.9197612259444048,0.9173913043478261,0.9173913043478261,0.9221311475409836,0.9173913043478261,0.9221311475409836,211,19,225,19,0.459481805562973,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Endoscopy II,Max. J Threshold,0.7657708100037327,0.7254901960784313,0.7190182904068683,0.6818181818181818,0.6578947368421053,0.7801418439716312,0.7075471698113207,0.738255033557047,75,31,110,39,0.5894493460655212,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
GECOCA,Max. J Threshold,0.8832309043020192,0.7738095238095238,0.8252853380158034,0.8389830508474577,0.7388059701492538,0.9117647058823529,0.9705882352941176,0.4696969696969697,99,3,31,35,0.6122161746025085,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Jiang 2015,Max. J Threshold,0.9022048364153628,0.8303571428571429,0.8460170697012802,0.8613138686131387,0.7972972972972973,0.8947368421052632,0.9365079365079365,0.6938775510204082,59,4,34,15,0.45209604501724243,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021,Max. J Threshold,0.8520138509203572,0.8111111111111111,0.7819391288500092,0.7150837988826816,0.6881720430107527,0.8757062146892656,0.7441860465116279,0.842391304347826,64,22,155,29,0.6036005616188049,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Mathios 2021 Validation,Max. J Threshold,0.9824957651044608,0.9419953596287703,0.9388198757763975,0.7747747747747747,0.9347826086956522,0.9428571428571428,0.6615384615384615,0.9918032786885246,43,22,363,3,0.4838382601737976,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Nordentoft 2024 and Frydendahl 2024,Max. J Threshold,0.8618146530810287,0.7481751824817519,0.8047064531780689,0.8270676691729324,0.7205240174672489,0.8888888888888888,0.9705882352941176,0.38461538461538464,165,5,40,64,0.4995782673358917,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Budhraja 2023,High Specificity Threshold,0.9833829365079365,0.9635416666666666,0.9613095238095238,0.9788519637462235,0.9642857142857143,0.9583333333333334,0.9938650306748467,0.7931034482758621,162,1,23,6,0.2732831835746765,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Cristiano 2019,High Specificity Threshold,0.9709016393442623,0.9113924050632911,0.9100677120456165,0.9045454545454547,0.8652173913043478,0.9549180327868853,0.9476190476190476,0.8825757575757576,199,11,233,31,0.533109724521637,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
Endoscopy II,High Specificity Threshold,0.7657708100037327,0.6862745098039216,0.6550018663680478,0.506172839506173,0.35964912280701755,0.950354609929078,0.8541666666666666,0.6473429951690821,41,7,134,73,0.8522716164588928,Cancer,2,Lasso Logistic Regression,Binary Classification,,1,0,0
