,validation_dataset,Threshold Version,AUC,Accuracy,Balanced Accuracy,F1,Sensitivity,Specificity,PPV,NPV,TP,FP,TN,FN,Threshold,best_pca_var,best_C,best_inner_bal_acc,n_test_samples
0,Budhraja,Max. J Threshold,0.8226686507936508,0.6458333333333334,0.7619047619047619,0.7499999999999999,0.6071428571428571,0.9166666666666666,0.9807692307692307,0.25,102,2,22,66,0.8355616951646384,0.987,0.04,0.7284975085212635,192
1,Budhraja,High Specificity Threshold,0.8226686507936508,0.5052083333333334,0.6994047619047619,0.6090534979423868,0.44047619047619047,0.9583333333333334,0.9866666666666667,0.19658119658119658,74,1,23,94,0.9009922638382668,0.987,0.04,0.7284975085212635,192
2,Budhraja,0.5 Threshold,0.8226686507936508,0.8697916666666666,0.49702380952380953,0.9303621169916435,0.9940476190476191,0.0,0.8743455497382199,0.0,167,24,0,1,0.5,0.987,0.04,0.7284975085212635,192
3,Cristiano,Max. J Threshold,0.936368496079829,0.8839662447257384,0.8830541696364932,0.8769574944071589,0.8521739130434782,0.9139344262295082,0.9032258064516129,0.867704280155642,196,21,223,34,0.17069951400801012,0.987,0.04,0.7157419409881681,474
4,Cristiano,High Specificity Threshold,0.936368496079829,0.8586497890295358,0.8558446186742694,0.8393285371702639,0.7608695652173914,0.9508196721311475,0.9358288770053476,0.8083623693379791,175,12,232,55,0.2016489967553667,0.987,0.04,0.7157419409881681,474
5,Cristiano,0.5 Threshold,0.936368496079829,0.6856540084388185,0.6760869565217391,0.5209003215434084,0.3521739130434783,1.0,1.0,0.6208651399491094,81,0,244,149,0.5,0.987,0.04,0.7157419409881681,474
6,EndoscopyII,Max. J Threshold,0.7013811123553565,0.6823529411764706,0.6623740201567749,0.5714285714285714,0.47368421052631576,0.851063829787234,0.72,0.6666666666666666,54,21,120,60,0.716036715587579,0.987,0.04,0.7287949063889907,255
7,EndoscopyII,High Specificity Threshold,0.7013811123553565,0.6666666666666666,0.6330720418066442,0.45859872611464964,0.3157894736842105,0.950354609929078,0.8372093023255814,0.6320754716981132,36,7,134,78,0.8294738839924052,0.987,0.04,0.7287949063889907,255
8,EndoscopyII,0.5 Threshold,0.7013811123553565,0.592156862745098,0.6076894363568496,0.6231884057971014,0.7543859649122807,0.46099290780141844,0.5308641975308642,0.6989247311827957,86,76,65,28,0.5,0.987,0.04,0.7287949063889907,255
9,GECOCA,Max. J Threshold,0.6900790166812993,0.6011904761904762,0.6622036874451273,0.6912442396313365,0.5597014925373134,0.7647058823529411,0.9036144578313253,0.3058823529411765,75,8,26,59,0.9011410813181093,0.987,0.04,0.7487832180640727,168
10,GECOCA,High Specificity Threshold,0.6900790166812993,0.35714285714285715,0.5860403863037752,0.33333333333333337,0.20149253731343283,0.9705882352941176,0.9642857142857143,0.2357142857142857,27,1,33,107,0.9706709955367318,0.987,0.04,0.7487832180640727,168
11,GECOCA,0.5 Threshold,0.6900790166812993,0.7976190476190477,0.5109745390693591,0.8866666666666666,0.9925373134328358,0.029411764705882353,0.8012048192771084,0.5,133,33,1,1,0.5,0.987,0.04,0.7487832180640727,168
12,Jiang,Max. J Threshold,0.8815789473684211,0.8214285714285714,0.8264580369843528,0.8571428571428571,0.8108108108108109,0.8421052631578947,0.9090909090909091,0.6956521739130435,60,6,32,14,0.3494914994417869,0.987,0.04,0.7452952363084631,112
13,Jiang,High Specificity Threshold,0.8815789473684211,0.6160714285714286,0.7030583214793742,0.5981308411214954,0.43243243243243246,0.9736842105263158,0.9696969696969697,0.46835443037974683,32,1,37,42,0.6101799107700542,0.987,0.04,0.7452952363084631,112
